uid,iid
0,0
0,187
0,1067
0,180
0,58
0,346
0,230
0,339
1,2683
1,0
1,732
1,4067
2,1061
2,1536
2,332
2,0
3,4740
3,579
3,3965
3,1
3,1293
3,305
3,3911
3,167
4,4468
4,1739
4,1
4,2330
5,0
5,1
5,1195
5,1870
6,3250
6,1668
6,1768
6,1841
6,3604
6,3792
6,2615
6,2196
6,1254
6,2737
6,1
6,2438
6,2604
6,4818
6,3662
7,3641
7,3675
7,184
7,3812
7,183
7,1372
7,305
8,3311
8,0
8,1535
8,3962
8,3823
9,3604
9,1
9,992
9,1195
10,2019
10,383
10,1246
10,1252
11,410
11,0
11,1
11,230
11,3445
12,3120
12,4628
12,3814
12,0
13,3141
13,1622
13,2559
13,1538
14,1712
14,838
14,1745
14,10
15,2476
15,1740
15,632
15,1
16,247
16,2163
16,4060
16,3628
16,4475
16,1780
16,2438
17,1
17,3892
17,604
17,3084
17,2636
17,1451
17,94
17,892
18,158
18,2854
18,1
18,606
19,412
19,1
19,3504
19,2615
20,1109
20,1
20,0
20,2835
21,117
21,1198
21,340
21,0
21,241
22,1
22,2822
22,443
22,404
22,2587
22,4632
22,2622
22,1034
22,454
22,451
22,4216
22,992
22,869
23,459
23,1467
23,565
23,2674
23,1
23,1550
24,3346
24,22
24,2055
24,0
25,412
25,849
25,1
25,1128
26,3152
26,679
26,109
26,2
26,404
26,820
27,1830
27,3196
27,1093
27,2
28,2995
28,2
28,393
28,4255
29,2017
29,4340
29,1223
29,2
30,1566
30,4658
30,2189
30,4041
30,668
30,2785
30,2501
30,3132
30,4247
30,762
30,2949
30,4850
31,1855
31,225
31,3394
31,1178
31,404
31,4598
31,1554
31,2845
31,1994
31,2
31,3851
32,1125
32,3700
32,2100
32,2
33,1468
33,898
33,505
33,4964
33,500
33,4130
33,749
33,2246
34,4188
34,1044
34,3289
34,3308
34,412
34,3491
34,2
34,2886
35,3764
35,1785
35,2706
35,1872
35,3165
35,3714
35,2
35,4475
36,3132
36,2953
36,1147
36,3740
36,468
37,2
37,247
37,2824
37,899
38,2953
38,2706
38,4473
38,2807
39,1524
39,3320
39,4625
39,2729
40,2479
40,990
40,225
40,1561
40,2498
40,2384
40,630
40,1868
40,1946
40,1138
40,1129
40,2
41,1874
41,2379
41,2625
41,2
42,1454
42,4543
42,1480
42,225
43,792
43,3278
43,1064
43,1412
43,1093
43,2
43,4241
43,393
43,1639
44,3259
44,2283
44,4543
44,2
45,1227
45,192
45,1043
45,4850
45,2
45,397
46,3928
46,3334
46,3278
46,2
47,690
47,3321
47,248
47,3589
47,691
47,708
47,2368
48,4369
48,78
48,2706
48,3756
49,1147
49,1999
49,2706
49,2
49,1690
49,3624
49,1339
49,3141
49,2824
49,1489
49,2992
49,3066
49,1487
49,1609
49,1919
49,330
49,3280
49,362
49,35
49,1905
49,1529
49,2316
49,3352
49,277
49,1138
49,3872
50,3037
50,2
50,2959
50,502
50,1322
51,4119
51,2
51,1344
51,3669
52,466
52,222
52,1480
52,221
53,1308
53,1158
53,984
53,2
54,141
54,4590
54,4064
54,2462
54,393
54,4598
54,2
54,1734
54,1896
54,2380
54,2365
54,3995
54,3275
54,1561
54,4107
54,103
54,1195
55,4063
55,4563
55,2765
55,1963
55,2488
55,1278
55,141
55,121
55,236
55,2
56,1928
56,3854
56,4949
56,2588
56,121
56,944
56,1963
56,2001
56,3149
56,733
56,704
56,3191
56,3350
56,237
56,862
56,4784
56,597
56,3836
56,1278
56,2
56,2784
56,929
56,1648
56,4751
56,768
56,1578
56,2150
56,3997
56,2669
56,2525
56,1411
56,2521
56,707
56,170
56,2705
56,4989
56,3956
56,4241
57,2
57,376
57,141
57,3846
57,4425
57,461
57,1554
57,2192
57,121
57,1412
57,2488
57,1278
57,2489
57,703
57,2521
57,3746
58,4914
58,3
58,1354
58,1087
58,1429
58,392
58,498
58,3741
59,755
59,18
59,3909
59,718
59,3
60,18
60,215
60,19
60,1072
60,1726
60,3
60,1780
61,1454
61,23
61,19
61,3
61,1478
62,2164
62,1550
62,2030
62,2669
62,2749
62,2814
63,1554
63,1705
63,3
63,1034
64,3
64,3236
64,697
64,1695
65,340
65,1800
65,839
65,820
65,3
65,22
65,1490
65,1124
66,415
66,18
66,3
66,1622
67,2310
67,1769
67,1581
67,1147
67,343
67,1800
67,2333
67,23
67,3
68,527
68,1691
68,755
68,3
69,1082
69,1489
69,19
69,1520
69,1800
69,1521
69,1491
69,1316
69,1334
70,575
70,430
70,177
70,19
71,3498
71,4
71,2586
71,1656
72,4579
72,2857
72,3466
72,2855
72,3069
72,1034
72,4274
72,4
72,4089
72,4244
73,4
73,4632
73,3036
73,471
74,1688
74,1947
74,4465
74,299
74,200
74,4
74,1242
74,1665
75,2492
75,4
75,411
75,3337
76,1411
76,1206
76,5
76,2859
76,16
76,1972
76,381
76,3344
77,2617
77,4015
77,1353
77,6
77,486
77,790
77,685
77,1057
77,2824
77,1446
77,1721
77,1482
77,2029
77,1566
77,1396
77,390
78,1874
78,1454
78,4458
78,6
79,1723
79,1093
79,2226
79,150
79,2249
79,232
79,961
79,559
79,122
79,225
80,4065
80,6
80,621
80,2368
81,3507
81,4007
81,2111
81,3589
81,62
81,361
81,575
81,165
81,2186
81,7
82,113
82,112
82,2281
82,1227
82,842
82,1680
82,1656
82,638
82,3627
82,1487
82,3869
82,1489
82,7
82,331
82,2673
82,1446
82,1679
82,5
82,126
82,600
82,1947
82,1082
82,1315
83,8
83,967
83,818
83,3945
83,3211
83,1584
84,8
84,2824
84,899
84,1190
85,8
85,921
85,620
85,109
85,1945
85,1176
86,2290
86,757
86,4090
86,8
87,170
87,3981
87,2123
87,1584
88,82
88,15
88,8
88,3212
89,8
89,2702
89,1947
89,1789
90,1163
90,4416
90,19
90,45
90,8
90,1238
90,468
90,4825
91,8
91,122
91,548
91,287
91,4415
92,1940
92,8
92,415
92,2111
92,275
93,2340
93,327
